dense_nodes,multiply_nodes,Accuracy,epochs
8,0,0.5596833333333333,100
8,0,0.5756333333333333,200
8,0,0.5791166666666666,300
2,6,0.18493333333333334,100
4,4,0.5353666666666667,100
6,2,0.39116666666666666,100
2,6,0.2919833333333333,200
4,4,0.803,200
6,2,0.57075,200
2,6,0.3595833333333333,300
4,4,0.7246666666666667,300
6,2,0.58035,300
2,3,0.19383333333333333,100
4,2,0.37375,100
6,1,0.42933333333333334,100
2,3,0.42028333333333334,200
4,2,0.6068666666666667,200
6,1,0.29611666666666664,200
2,3,0.6210333333333333,300
4,2,0.5738833333333333,300
6,1,0.72075,300
8,0,0.3915,100
8,0,0.5808666666666666,200
8,0,0.5935333333333334,300
2,6,0.19581666666666667,100
4,4,0.19966666666666666,100
6,2,0.72485,100
2,6,0.1982,200
4,4,0.5813666666666667,200
6,2,0.68925,200
2,6,0.35963333333333336,300
4,4,0.28,300
6,2,0.77375,300
2,3,0.4076,100
4,2,0.4537333333333333,100
6,1,0.46366666666666667,100
2,3,0.5195333333333333,200
4,2,0.6630833333333334,200
6,1,0.6389,200
2,3,0.35673333333333335,300
4,2,0.56795,300
6,1,0.7898166666666666,300
8,0,0.3918333333333333,100
8,0,0.39521666666666666,200
8,0,0.39698333333333335,300
2,6,0.5414833333333333,100
4,4,0.45545,100
6,2,0.5075833333333334,100
2,6,0.6265666666666667,200
4,4,0.5673666666666667,200
6,2,0.6930666666666667,200
2,6,0.6274833333333333,300
4,4,0.6305666666666667,300
6,2,0.43693333333333334,300
2,3,0.2864,100
4,2,0.384,100
6,1,0.4825,100
2,3,0.6741,200
4,2,0.44438333333333335,200
6,1,0.77225,200
2,3,0.5363666666666667,300
4,2,0.7373333333333333,300
6,1,0.7245166666666667,300
8,0,0.7198666666666667,100
8,0,0.8294666666666667,200
8,0,0.8416666666666667,300
2,6,0.6175666666666667,100
4,4,0.35191666666666666,100
6,2,0.54435,100
2,6,0.6171166666666666,200
4,4,0.4480166666666667,200
6,2,0.5781166666666666,200
2,6,0.39663333333333334,300
4,4,0.7413833333333333,300
6,2,0.7109,300
2,3,0.4551,100
4,2,0.371,100
6,1,0.5430666666666667,100
2,3,0.31845,200
4,2,0.72205,200
6,1,0.7073833333333334,200
2,3,0.5116833333333334,300
4,2,0.7127166666666667,300
6,1,0.5659666666666666,300
8,0,0.6277666666666667,100
8,0,0.6417833333333334,200
8,0,0.6496166666666666,300
2,6,0.2875333333333333,100
4,4,0.7180833333333333,100
6,2,0.36278333333333335,100
2,6,0.35223333333333334,200
4,4,0.5630666666666667,200
6,2,0.6083666666666666,200
2,6,0.43595,300
4,4,0.6622166666666667,300
6,2,0.7073166666666667,300
2,3,0.2823833333333333,100
4,2,0.4177,100
6,1,0.46115,100
2,3,0.5519,200
4,2,0.40596666666666664,200
6,1,0.6184,200
2,3,0.19753333333333334,300
4,2,0.2977,300
6,1,0.7131166666666666,300
10,0,0.3836833333333333,100
10,0,0.5672833333333334,200
10,0,0.5785166666666667,300
2,8,0.6551166666666667,100
4,6,0.49705,100
6,4,0.6141666666666666,100
8,2,0.39208333333333334,100
2,8,0.27365,200
4,6,0.71425,200
6,4,0.48835,200
8,2,0.6939666666666666,200
2,8,0.3367,300
4,6,0.62325,300
6,4,0.79635,300
8,2,0.39303333333333335,300
2,4,0.4222,100
4,3,0.5743,100
6,2,0.6249166666666667,100
8,1,0.19968333333333332,100
2,4,0.27825,200
4,3,0.7326,200
6,2,0.44233333333333336,200
8,1,0.65305,200
2,4,0.5631166666666667,300
4,3,0.58545,300
6,2,0.8377166666666667,300
8,1,0.6296166666666667,300
10,0,0.1,100
10,0,0.1,200
10,0,0.1,300
2,8,0.2526333333333333,100
4,6,0.28531666666666666,100
6,4,0.6967833333333333,100
8,2,0.5150833333333333,100
2,8,0.35306666666666664,200
4,6,0.4658833333333333,200
6,4,0.4513333333333333,200
8,2,0.46675,200
2,8,0.19801666666666667,300
4,6,0.28901666666666664,300
6,4,0.5922166666666666,300
8,2,0.7502666666666666,300
2,4,0.43555,100
4,3,0.73775,100
6,2,0.29673333333333335,100
8,1,0.5661666666666667,100
2,4,0.40225,200
4,3,0.5213,200
6,2,0.6634333333333333,200
8,1,0.3773666666666667,200
2,4,0.32898333333333335,300
4,3,0.38908333333333334,300
6,2,0.4483666666666667,300
8,1,0.47705,300
10,0,0.3922666609287262,100
10,0,0.39338332414627075,200
10,0,0.3952333331108093,300
2,8,0.09996666666666666,100
4,6,0.196,100
6,4,0.19436666666666666,100
8,2,0.2920833333333333,100
2,8,0.36633333333333334,200
4,6,0.10005,200
6,4,0.5606333333333333,200
8,2,0.8245,200
2,8,0.09995,300
4,6,0.28726666666666667,300
6,4,0.7386833333333334,300
8,2,0.6651833333333333,300
2,4,0.38135,100
4,3,0.5940333333333333,100
6,2,0.6092166666666666,100
8,1,0.5598166666666666,100
2,4,0.2882166666666667,200
4,3,0.3851833333333333,200
6,2,0.7461166666666667,200
8,1,0.7335166666666667,200
2,4,0.6925,300
4,3,0.7087,300
6,2,0.48806666666666665,300
8,1,0.5551166666666667,300
10,0,0.2973166666666667,100
10,0,0.57405,200
10,0,0.7121833333333333,300
2,8,0.19903333333333334,100
4,6,0.5713,100
6,4,0.18981666666666666,100
8,2,0.34615,100
2,8,0.26716666666666666,200
4,6,0.28501666666666664,200
6,4,0.28236666666666665,200
8,2,0.5276833333333333,200
2,8,0.28245,300
4,6,0.60655,300
6,4,0.7667333333333334,300
8,2,0.5718333333333333,300
2,4,0.3691833333333333,100
4,3,0.38256666666666667,100
6,2,0.5930166666666666,100
8,1,0.7680166666666667,100
2,4,0.58095,200
4,3,0.5363166666666667,200
6,2,0.7359666666666667,200
8,1,0.48313333333333336,200
2,4,0.34503333333333336,300
4,3,0.5168,300
6,2,0.46573333333333333,300
8,1,0.5709333333333333,300
10,0,0.366,100
10,0,0.3713166666666667,200
10,0,0.4515166666666667,300
2,8,0.2338,100
4,6,0.37316666666666665,100
6,4,0.6200666666666667,100
8,2,0.4585,100
2,8,0.3634,200
4,6,0.59145,200
6,4,0.47275,200
8,2,0.1996,200
2,8,0.10001666666666667,300
4,6,0.6094666666666667,300
6,4,0.5846833333333333,300
8,2,0.5674833333333333,300
2,4,0.37825,100
4,3,0.46803333333333336,100
6,2,0.7351833333333333,100
8,1,0.4757166666666667,100
2,4,0.40941666666666665,200
4,3,0.6435333333333333,200
6,2,0.6892833333333334,200
8,1,0.5185333333333333,200
2,4,0.4618,300
4,3,0.5695166666666667,300
6,2,0.5508,300
8,1,0.66915,300
